employeeExternalId,locationId,locationExternalId,type,currentBalance,availableBalance,accrued,carryOverBalance,taken
837130,dbb8883e-5281-484e-ae3f-28ecab0fa5a4,493,Sick Earned,0,0,0,0,0
206921,5e13f4c1-9444-4161-a26c-20bb10661304,515,Personal,14,14,0,14,0
206921,5e13f4c1-9444-4161-a26c-20bb10661304,515,Vacation,81,81,0,81,0
206921,5e13f4c1-9444-4161-a26c-20bb10661304,515,Take 5 Day,9,9,0,9,0
586933,0b85864b-f0a9-4350-b2d7-0d1cf527207b,678,Personal,18,18,0,18,0
586933,0b85864b-f0a9-4350-b2d7-0d1cf527207b,678,Vacation,20,20,0,20,0
586933,0b85864b-f0a9-4350-b2d7-0d1cf527207b,678,Take 5 Day,9,9,0,9,0
803169,e6cda919-dd9c-4387-9b08-c0151fc1f2fc,739,Personal,6.63,6.63,0,6.63,0
824010,d73d1c97-ca06-406c-ac8e-93e59362555a,1471,CA Sick,7.52,7.52,0,7.52,0
837672,be371358-e28c-45a3-9a52-103172172179,1125,Personal,45,45,0,45,0
837672,be371358-e28c-45a3-9a52-103172172179,1125,Vacation,9,9,0,9,0
837672,be371358-e28c-45a3-9a52-103172172179,1125,Take 5 Day,9,9,0,9,0
827726,3e82edec-a3c5-4298-b11a-4a06dd8ef65b,5061,Vacation,28.05,28.05,0,28.05,0
827726,3e82edec-a3c5-4298-b11a-4a06dd8ef65b,5061,Personal,40,40,0,40,0
827726,3e82edec-a3c5-4298-b11a-4a06dd8ef65b,5061,Take 5 Day,8,8,0,8,0
838407,ab5a533e-46f2-4e1f-a5d0-2427b640eeda,151,Sick Earned,2.75,2.75,0,2.75,0
788515,772e629e-2b5c-4bbb-9dc0-4854f73e4d03,3001,Sick Earned,40,40,0,40,0
799991,2643018d-0b17-4936-afb4-290609ef1e5a,8083,Sick Earned,4,4,0,4,0
820981,843b934a-82d9-4560-b58b-c832ef5a525a,124,Sick Earned,15.33,15.33,0,15.33,0
784056,2fdbb2dc-1910-47fc-b363-076c358062e2,3005,Sick Earned,32,32,0,32,0
824889,d996f456-794b-4e0c-89f2-76941f749b72,633,Vacation,0,0,0,0,0
824889,d996f456-794b-4e0c-89f2-76941f749b72,633,Personal,40,40,0,40,0
824889,d996f456-794b-4e0c-89f2-76941f749b72,633,Take 5 Day,8,8,0,8,0
732802,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,Vacation,120,120,120,0,0
732802,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,Personal,40,40,40,0,0
732802,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,Take 5 Day,0,0,0,0,0
732802,2e7f677e-cc8b-4922-aa79-9190017f7f6e,86000,WOW Week,0,0,0,0,0
844660,e78b7c9d-f86d-4879-b0c1-495c4acf8b1b,5182,Vacation,15.03,15.03,0,15.03,0
844660,e78b7c9d-f86d-4879-b0c1-495c4acf8b1b,5182,Personal,40,40,0,40,0
