employeeExternalId,locationId,locationExternalId,type,currentBalance,availableBalance,accrued,carryOverBalance,taken
738743,2f9666a4-c5a1-4dc5-bba6-c062b5771ebd,72026,Take 5 Day,8,8,0,8,0
568934,702c44d6-7469-427b-a8c8-9b62604ad870,353,Personal,56,56,0,56,0
568934,702c44d6-7469-427b-a8c8-9b62604ad870,353,Vacation,72,72,0,72,0
568934,702c44d6-7469-427b-a8c8-9b62604ad870,353,Take 5 Day,8,8,0,8,0
797663,86cd1714-5067-4eb3-b13b-5f18e16a837d,709,Vacation,13.11,13.11,0,13.11,0
797663,86cd1714-5067-4eb3-b13b-5f18e16a837d,709,Sick Earned,26.39,26.39,0,26.39,0
835706,2a4fb04e-0cca-4d4f-8a9f-49e61e2cf20a,5161,Vacation,21.92,21.92,0,21.92,0
835706,2a4fb04e-0cca-4d4f-8a9f-49e61e2cf20a,5161,Personal,40,40,0,40,0
835706,2a4fb04e-0cca-4d4f-8a9f-49e61e2cf20a,5161,Take 5 Day,8,8,0,8,0
847034,eb166dd0-2423-40dd-83d5-c8bf734dfece,8043,Sick Earned,2.25,2.25,0,2.25,0
839200,d6650e5c-9e0c-45ce-8de5-ffe3cdb7e221,8007,Sick Earned,4.15,4.15,0,4.15,0
845699,1f8aab6a-71f6-4728-92d1-04c7018f02b5,8208,Sick Earned,1.82,1.82,0,1.82,0
770996,9f6d8667-92fb-4084-9ec1-a16f7b43aeaa,3055,Sick Earned,40,40,0,40,0
605444,f95cec9b-1e2e-4afd-aed6-d2af969ae574,6024,Vacation,57.63,57.63,0,57.63,0
605444,f95cec9b-1e2e-4afd-aed6-d2af969ae574,6024,Personal,16,16,0,16,0
605444,f95cec9b-1e2e-4afd-aed6-d2af969ae574,6024,Take 5 Day,8,8,0,8,0
803889,620873a3-e9df-4dbb-8bb7-2546ce697db5,1352,CA Sick,24.02,24.02,0,24.02,0
838628,d76c5423-253f-4a31-b048-06ce9e6bddc3,757,Personal,6.78,6.78,0,6.78,0
840134,6ec88364-5728-4045-8622-24db6e447ca3,153,Sick Earned,3.85,3.85,0,3.85,0
549153,9bb9cc84-d758-4816-8170-961134e3d05e,7132,Personal,40,40,0,40,0
549153,9bb9cc84-d758-4816-8170-961134e3d05e,7132,Vacation,45,45,0,45,0
549153,9bb9cc84-d758-4816-8170-961134e3d05e,7132,Take 5 Day,9,9,0,9,0
699020,1795c8ad-85bb-4f88-9272-8e4a91f84624,7049,Vacation,32,32,0,32,0
699020,1795c8ad-85bb-4f88-9272-8e4a91f84624,7049,Personal,32,32,0,32,0
699020,1795c8ad-85bb-4f88-9272-8e4a91f84624,7049,Take 5 Day,8,8,0,8,0
776021,e3412ad4-5f38-480d-ba08-fa6259873085,7080,Vacation,8,8,0,8,0
